,Count_S,Count_E,Count_I,Count_R,Infections_Home,Infections_GQ,Infections_Work,Infections_School,Infections_Community
560,18,2,21,1042,0,0,0,0,0
561,18,2,21,1042,0,0,0,0,0
562,18,2,21,1042,0,0,0,0,0
563,18,2,21,1042,0,0,0,0,0
564,18,2,21,1042,0,0,0,0,0
565,18,2,20,1043,0,0,0,0,0
566,18,2,20,1043,0,0,0,0,0
567,18,2,19,1044,0,0,0,0,0
568,18,2,18,1045,0,0,0,0,0
569,18,2,17,1046,0,0,0,0,0
570,18,2,17,1046,0,0,0,0,0
571,18,2,17,1046,0,0,0,0,0
572,18,2,17,1046,0,0,0,0,0
573,18,2,17,1046,0,0,0,0,0
574,18,2,17,1046,0,0,0,0,0
575,18,1,18,1046,0,0,0,0,0
576,18,1,17,1047,0,0,0,0,0
577,18,1,17,1047,0,0,0,0,0
578,18,1,17,1047,0,0,0,0,0
579,18,1,17,1047,0,0,0,0,0
580,18,1,17,1047,0,0,0,0,0
581,18,1,17,1047,0,0,0,0,0
582,18,0,18,1047,0,0,0,0,0
583,18,0,18,1047,0,0,0,0,0
584,18,0,18,1047,0,0,0,0,0
585,18,0,18,1047,0,0,0,0,0
586,18,0,18,1047,0,0,0,0,0
587,18,0,18,1047,0,0,0,0,0
588,18,0,18,1047,0,0,0,0,0
589,18,0,17,1048,0,0,0,0,0
590,18,0,16,1049,0,0,0,0,0
591,18,0,16,1049,0,0,0,0,0
592,18,0,16,1049,0,0,0,0,0
593,18,0,16,1049,0,0,0,0,0
594,18,0,16,1049,0,0,0,0,0
595,18,0,16,1049,0,0,0,0,0
596,18,0,16,1049,0,0,0,0,0
597,18,0,16,1049,0,0,0,0,0
598,18,0,16,1049,0,0,0,0,0
599,18,0,16,1049,0,0,0,0,0
600,18,0,16,1049,0,0,0,0,0
601,18,0,16,1049,0,0,0,0,0
602,18,0,15,1050,0,0,0,0,0
603,18,0,15,1050,0,0,0,0,0
604,18,0,14,1051,0,0,0,0,0
